EA;EA2;EA3;EA4;EA5;EA10
10000;10000;10000;10000;10000;10000
921030;921030;921030;921030;921030;921030
0;817;564;2881;726;6114;5931
1;4800;2387;533;851;547;55015
2;737;274;1464;2489;3827;929
3;685;806;750;571;1350;2006
4;9286;4567;8250;3603;5542;2606
5;2314;1762;1594;3442;3546;3236
6;272;1574;1178;2880;870;4853
7;478;4854;7480;2423;2368;2847
8;1964;1661;11454;9510;12903;4894
9;1203;1557;987;284;899;3519
10;20212;2015;11888;1782;13661;2449
11;1173;401;461;778;1886;406
12;2422;4245;4321;4307;3197;9473
13;985;287;404;1872;382;4676
14;1346;452;747;1217;91;3290
15;3417;1019;1905;96;10446;15721
16;1431;1457;397;976;103;5710
17;3300;2528;1456;2570;1223;3872
18;8416;1191;1015;680;7777;8337
19;4409;2415;1486;7617;375;1000
20;222;404;8043;107;9104;6044
21;68;2225;3287;1086;3299;13290
22;13730;3368;384;3481;3944;29573
23;317;511;1103;32;8711;3486
24;829;549;2731;6027;1218;1061
25;857;370;1594;4053;3431;20450
26;10183;212;7370;5023;2180;5684
27;583;1256;478;470;164;2609
28;521;1483;1030;2127;721;6274
29;852;2038;902;2557;936;594
30;545;5007;2246;5615;2361;2942
31;3203;2855;2136;3380;3083;23874
32;911;2393;825;4583;1063;1347
33;96;902;1197;1270;2197;254
34;1064;8078;2468;9619;18422;21452
35;1160;2187;8692;217;32140;1953
36;1535;4313;8119;2523;1293;27633
37;1552;1845;1011;1565;1233;174
38;1074;2064;1555;1575;1883;2495
39;7585;158;3351;3099;6926;7108
40;2102;359;3527;1045;730;475
41;2151;646;1381;1354;913;2512
42;6415;7548;2992;589;4827;4360
43;11581;3939;538;6005;12602;4350
44;845;624;978;122;995;464
45;849;4789;2098;779;4284;351
46;1342;1867;6703;261;3379;2420
47;2680;461;181;2433;2909;798
48;5568;9440;2808;1237;3527;1714
49;2941;3163;5101;954;4860;3331
50;18601;1373;3155;6066;24242;2933
51;5373;175;6919;1377;4788;18362
52;3751;2545;182;4409;1587;216
53;3072;5244;3190;11828;2246;2727
54;1473;738;1225;3499;647;2569
55;3076;684;3221;2129;253;2068
56;2603;1175;4332;7502;3214;16847
57;4370;11874;3637;8624;7754;8872
58;3722;971;5874;4649;4097;1115
59;599;1968;3009;1609;3624;6758
60;679;106;1284;317;1595;8371
61;615;298;6346;365;4536;4836
62;5107;2432;6568;5292;1655;1143
63;838;979;610;820;451;3558
64;921;1943;62;969;842;463
65;398;451;616;4383;1101;1678
66;296;681;2291;252;515;2588
67;2107;493;1437;513;777;5981
68;1026;1281;16111;173;4801;14949
69;1425;2221;1254;2007;95;582
70;301;2402;3780;3201;3098;28145
71;435;8577;2949;1252;9894;1476
72;336;556;3166;253;5720;403
73;728;1982;1161;1878;13258;7380
74;730;313;381;257;1476;6104
75;1071;3028;1173;6425;4831;6021
76;2501;213;1377;990;1124;656
77;774;3970;4201;1253;11106;19782
78;3786;3584;18098;3773;3819;11411
79;2677;6076;2591;692;1728;1900
80;13232;5938;8376;10815;656;12121
81;1501;4303;216;1914;5454;25534
82;543;569;4915;923;764;1777
83;3326;2363;387;168;10526;10484
84;893;3168;4988;358;5210;56002
85;2482;1352;1163;394;1707;8228
86;1699;5999;485;1824;3227;2362
87;444;38;466;627;1905;1201
88;2144;363;3303;975;4548;1011
89;794;3122;335;340;5914;4024
90;2802;8724;1196;386;2424;10435
91;1427;5543;7867;9207;6084;3386
92;3352;9174;4525;2643;5549;2745
93;621;2512;10951;8986;2706;3466
94;7180;6367;1033;1344;4482;10205
95;4497;8695;1735;3253;1693;23675
96;653;3713;5578;4658;2941;562
97;1453;345;5658;1330;819;888
98;231;1030;1008;4367;5142;356
99;8147;3316;4971;3681;348;2812
100;2376;5496;1791;4012;98;14023
101;607;2592;5042;1468;916;9644
102;662;1577;1269;1509;584;2662
103;12067;4401;5800;7285;14417;6747
104;1111;2744;428;3128;875;2282
105;852;765;2670;2791;1458;1614
106;1018;286;3757;5418;2310;12025
107;475;621;1250;1135;555;312
108;4533;6127;948;8424;2374;9008
109;4151;2417;2498;9818;8691;9458
110;3861;5403;4176;7267;12505;10098
111;1820;4537;2041;2726;8752;759
112;1344;898;717;313;2154;11089
113;1430;853;4022;12955;2775;2400
114;2376;1100;3039;1998;442;2386
115;1393;1206;551;2637;14986;8995
116;717;1870;9821;1022;7909;1726
117;1724;3815;3873;4450;4508;1696
118;2156;634;2776;470;2792;2901
119;2927;214;6568;3522;706;26280
120;504;303;2442;3001;1957;4653
121;4583;3814;3270;2127;742;7410
122;443;639;174;1226;4076;2936
123;209;966;1201;1031;706;2866
124;2734;621;2116;739;5404;3667
125;6929;1043;1792;364;4291;3243
126;6435;714;12075;2637;1776;25976
127;4879;5963;1966;1623;22634;17577
128;10833;780;1150;742;3539;10598
129;313;4121;2846;2280;2265;8129
130;177;1897;841;425;898;3348
131;3668;2536;902;2543;10881;18247
132;5799;716;5589;4232;5690;6323
133;1322;644;449;933;111;21017
134;1827;2941;10053;2043;3774;6063
135;394;1327;1586;3328;5389;6173
136;606;707;4467;2422;15019;17000
137;1712;1459;3126;336;423;507
138;9846;17980;17800;12822;15201;5558
139;3076;6390;245;182;11954;1656
140;2081;2671;509;5178;3568;3181
141;3539;1376;100;7366;885;7218
142;1238;923;11323;8087;1167;12284
143;1140;5219;1272;1331;1626;4304
144;241;462;1626;1611;5159;7917
145;7953;5905;11580;5827;1970;12169
146;1116;3741;1611;1697;7692;22863
147;1485;927;1788;3981;1587;15958
148;2537;2219;4391;3656;1817;84
149;1226;1742;191;381;162;1394
150;478;907;510;321;162;972
151;2298;8551;2165;3366;9057;158
152;3921;2419;3275;497;9558;3018
153;965;5890;5182;6823;4812;27844
154;714;3359;3681;5576;1321;11177
155;1250;209;3900;772;3501;6269
156;2831;602;2930;3621;589;3063
157;6317;14241;3946;3115;877;1147
158;7665;2062;224;84;7811;560
159;771;486;27468;2026;3198;13300
160;9028;788;27455;1759;327;2880
161;2066;893;2482;4101;11452;5447
162;1956;1766;9428;4598;1005;44440
163;7940;4540;56;936;1039;1256
164;13954;914;3090;2068;5937;21732
165;1380;3215;4039;13926;11844;4654
166;566;1677;587;2893;6607;1239
167;928;3582;1862;17607;9734;7792
168;5237;5609;8445;5229;1245;7312
169;7528;5341;3349;5108;2691;17631
170;4771;2067;212;1137;2381;751
171;4568;6086;1065;11363;10724;8221
172;2819;390;388;3922;111;13986
173;2594;681;1472;2479;4108;22720
174;372;1302;90;142;1015;10774
175;2581;307;612;5254;1238;3967
176;1166;538;528;4325;831;3772
177;947;3349;53;538;315;352
178;5369;411;982;3664;4082;7304
179;932;1992;1353;5455;669;6946
180;6345;7593;8437;509;21717;6067
181;1150;1414;42;217;2038;1197
182;787;77;1557;1007;8120;4031
183;1397;755;782;232;3065;1432
184;4124;1208;448;1100;1770;11124
185;14593;6734;3699;6020;3868;8543
186;596;1709;1402;542;4812;4625
187;11322;983;8268;340;400;19610
188;397;4289;51;1131;155;914
189;13;3010;2414;256;780;6487
190;8014;1517;2028;3297;1322;1392
191;1084;2246;619;657;641;4989
192;4137;1787;1777;538;2736;468
193;3154;368;4191;2172;1045;1226
194;455;859;1351;604;3342;1939
195;1030;1787;1498;3527;2474;9313
196;351;1703;321;4156;4586;5586
197;3058;758;2621;10387;12180;3451
198;677;1233;6585;281;3731;4657
199;4825;3317;3799;1569;1238;741
200;4407;1561;7513;9776;9056;14701
201;1469;2090;788;1458;1484;1543
202;685;1640;3320;626;7027;6734
203;1816;6370;2825;2224;2551;25602
204;1083;5900;1744;9873;1040;2279
205;1304;1326;80;3115;149;9345
206;3040;2192;3547;4623;6487;1514
207;1412;773;1796;5390;21133;10227
208;765;4707;3592;7474;4614;23052
209;2619;194;311;393;1426;129
210;5248;1551;4307;1494;3298;17635
211;1282;677;745;1363;3659;2637
212;402;3097;1609;3379;1619;4706
213;776;695;358;1687;2851;13947
214;1962;614;311;1092;323;732
215;20496;1030;7599;806;31392;504
216;223;117;1186;786;3240;2378
217;630;5755;502;5153;4400;121
218;587;2487;5307;3542;162;5253
219;2125;132;2831;626;4907;4071
220;1754;809;1435;2033;303;4680
221;7615;9973;5163;6962;3033;23474
222;1167;589;1127;785;228;1226
223;1874;1400;2340;919;1452;1960
224;3317;1975;3410;2902;1928;6125
225;8313;1429;669;4889;2792;16714
226;10738;248;73;2772;2993;8614
227;381;659;2750;3844;1335;848
228;3574;5034;1132;739;74;9076
229;4161;7707;995;17241;4762;6728
230;388;545;1752;787;471;2262
231;2836;238;404;547;2797;2742
232;1075;1874;2612;1966;1915;3536
233;1560;4114;365;7784;11002;6905
234;1185;534;1019;4860;5471;396
235;1916;2493;538;2490;11242;11432
236;637;1766;581;699;1262;2221
237;162;2197;1212;1672;1230;1228
238;687;4746;2395;1444;1600;817
239;426;505;4712;6833;1105;2699
240;412;37;2358;561;3472;4356
241;3524;1364;6682;3240;309;1088
242;1237;4352;1422;6367;759;1078
243;2254;5389;5113;13531;8549;41946
244;1451;61;587;527;1993;1579
245;1640;16087;29485;2767;19157;10323
246;904;868;2350;633;467;991
247;1376;2963;694;4519;955;5764
248;1249;1303;488;1572;3864;1316
249;485;562;1333;1135;1364;5441
250;79;2344;2951;5307;4312;5479
251;8355;6374;767;17716;110;3668
252;270;1521;487;1951;3510;337
253;10139;3909;225;6269;682;28396
254;11295;2768;1033;2685;1492;5400
255;414;1743;258;1314;3532;962
256;2561;4403;3248;6528;5729;21514
257;32047;619;18092;1865;4051;1927
258;4335;2769;3043;6375;1757;22732
259;1812;2901;3626;295;475;200
260;5839;1809;7376;896;7470;4194
261;1575;227;803;391;378;1620
262;384;981;3576;9275;2167;614
263;949;182;1089;9661;1647;17607
264;980;4002;274;11941;20873;4766
265;670;173;4310;780;2188;10982
266;115;889;3621;1447;15657;2448
267;473;1445;993;1354;1046;5622
268;1952;6107;77;10281;5515;322
269;847;897;957;9103;2429;1491
270;1226;1298;968;726;984;2861
271;1741;2166;2876;8626;2090;937
272;3487;2392;6029;2059;1255;1957
273;3421;10040;200;10612;22864;8769
274;1178;6391;2553;1403;8370;738
275;2066;1968;1004;8663;30;12163
276;2396;12841;1339;2161;9429;5096
277;3641;2065;984;8987;8858;13038
278;7663;2590;5235;1626;353;13725
279;7418;198;2257;27746;20525;14430
280;1022;1186;12037;428;2267;10993
281;858;154;259;9365;9609;19511
282;2082;105;1169;360;1582;472
283;9135;2025;2042;28868;951;12350
284;1369;238;128;2804;1491;4619
285;1069;1874;11981;910;7278;18831
286;984;190;231;7133;2817;68
287;2307;712;622;11706;3914;444
288;368;396;372;3532;1427;775
289;586;239;1255;162;779;6170
290;1703;96;368;4746;387;3205
291;560;2174;4688;6226;287;6198
292;1772;3518;1410;232;1391;3055
293;227;1675;89;4009;329;4953
294;4408;1488;4591;1578;8440;10837
295;2605;294;3710;4133;2687;9736
296;604;397;2436;1076;5468;2905
297;7574;595;4228;1323;1972;117
298;5311;3401;10386;12916;286;22341
299;490;1304;440;640;949;13051
300;575;1604;1497;1786;655;248
301;269;1281;340;710;3167;3414
302;1326;2892;1909;521;835;3813
303;355;191;1464;143;3044;630
304;828;3533;1213;2806;879;7700
305;767;745;1031;30;407;232
306;296;374;919;599;1314;9073
307;1054;1614;289;1396;43;3138
308;8675;5981;1624;23661;144;13425
309;2540;391;74;334;598;947
310;6702;6943;4940;5537;1488;25696
311;11414;2548;1404;1735;13994;35621
312;2513;647;4208;144;2603;3952
313;1047;1123;1506;156;1119;8358
314;11928;4974;570;7238;8453;11099
315;580;1555;1806;14915;9571;5039
316;798;526;2958;3598;2809;317
317;4862;7326;8625;1388;16230;3289
318;711;6062;1197;206;1176;5789
319;417;327;95;1818;1977;2747
320;521;957;868;2073;2031;355
321;5267;4679;3943;3839;323;8497
322;3670;333;2838;4806;13780;3659
323;165;1969;697;1170;4111;6231
324;429;3118;3115;4526;3813;9123
325;142;920;8613;836;1076;1649
326;1194;5733;512;1840;13076;37243
327;1243;262;1911;1750;618;5309
328;1500;2044;1950;2185;378;4724
329;2202;3223;1361;1730;6914;10933
330;845;3538;277;1140;1475;18029
331;3878;1128;672;1502;4757;9128
332;436;1167;1741;1614;495;2227
333;963;938;2116;2840;7685;3271
334;1817;1296;588;359;1482;568
335;1084;2764;2504;500;774;1501
336;5515;2023;3740;3066;12565;6338
337;5592;2835;7253;97;16871;10594
338;3148;355;5461;1752;1953;7568
339;6347;1064;19111;13265;11963;4752
340;4888;10515;3958;6929;1232;9509
341;2780;684;4990;4321;6326;5371
342;1241;12310;6481;1322;16028;15967
343;1157;467;327;1888;16448;9172
344;506;409;1217;4396;202;5093
345;3841;357;3482;5300;1518;2150
346;1150;4120;5486;416;78;16758
347;1339;2493;160;7397;5934;16659
348;337;1182;3028;1563;794;11874
349;3499;2535;10809;4545;16121;3680
350;6232;1351;1200;3232;4422;7697
351;1646;2084;1661;1171;16821;28247
352;711;1038;2091;643;2376;303
353;1313;1454;3298;360;1141;4655
354;2026;993;473;2571;2776;6922
355;922;494;3632;1999;8957;24792
356;12945;5743;78;239;4107;19672
357;345;12355;933;479;6400;3302
358;354;618;1332;962;3131;296
359;378;440;266;1637;11291;3124
360;524;4024;6054;857;24646;23809
361;3963;983;178;962;6808;6322
362;5899;1006;4297;3108;727;1338
363;2537;2667;3143;1061;2725;10806
364;85;426;127;609;5454;5460
365;5230;635;2074;315;1577;942
366;12594;5896;7984;4568;571;1540
367;2023;328;2631;2754;331;5544
368;1892;14275;6037;8574;2254;12375
369;2059;1893;5615;1818;7422;527
370;2888;166;691;2686;335;272
371;1275;204;1554;7847;5813;583
372;1380;1844;11520;2152;4987;4320
373;9437;200;2561;7139;2779;1064
374;3138;5133;6291;6664;297;14775
375;117;3358;2023;2386;2278;3363
376;1053;104;688;2360;5989;12531
377;3287;1942;10334;121;9903;3264
378;7124;2141;1333;10814;12702;2903
379;7155;823;5598;2564;11296;11441
380;1137;4187;7450;127;7378;14062
381;714;2881;1569;6727;1205;2821
382;3500;317;10982;2520;6449;48040
383;3504;314;2343;2295;466;2395
384;2351;1854;1402;2243;726;8783
385;959;2915;1559;2327;14640;1461
386;2471;170;1835;4174;658;2060
387;1268;1945;4935;2926;8552;4758
388;2114;130;1008;786;4161;641
389;1072;2673;686;497;723;498
390;2915;2691;2908;1172;9413;7139
391;3169;605;1298;778;807;5051
392;7050;371;407;10299;1495;10248
393;1074;295;1068;539;250;6366
394;588;9159;1832;1415;10537;365
395;261;438;1184;2143;579;13046
396;1131;407;13249;586;861;2405
397;9475;1378;5776;2922;562;417
398;268;15882;108;1045;15415;14685
399;898;650;773;882;9093;4342
400;2085;2825;391;1702;1571;4677
401;2269;1407;4521;672;1970;1171
402;771;544;1498;2055;1100;255
403;9606;443;6672;3563;9678;6628
404;6704;570;4180;4787;1053;9309
405;909;3661;3152;670;10359;11649
406;12906;11209;231;10800;4263;12914
407;1650;157;2373;2245;742;1962
408;3113;1670;267;466;2611;1838
409;6696;6514;478;3273;394;570
410;5933;1423;1363;734;10029;3872
411;2528;185;18725;12425;2146;793
412;1884;1124;4075;360;290;2977
413;19906;4970;1845;224;2865;13524
414;2536;3999;1728;266;1246;3651
415;7753;525;4538;4563;1351;27727
416;8346;747;1218;3038;553;6771
417;1519;3549;2638;2026;12446;12097
418;3111;2184;323;202;3051;11382
419;6728;396;6044;3445;1847;1759
420;871;2556;330;4560;4137;3427
421;4390;2571;1809;210;118;19662
422;1385;2920;1181;2327;256;11830
423;2000;71;3964;449;2850;6158
424;2258;2489;5314;2949;8903;7276
425;3830;75;8931;11226;1736;27895
426;670;10423;515;1240;236;18244
427;879;1573;11281;6647;7273;2015
428;4032;5976;16290;2379;9420;1610
429;465;3708;3990;114;1988;549
430;4511;2622;7626;4342;3648;7023
431;425;1162;1011;188;934;901
432;4283;12683;3016;929;4528;344
433;4544;2185;1190;1120;969;11554
434;8267;4667;8136;20068;6785;26110
435;12375;1729;144;4227;2323;14913
436;1564;764;2500;1090;6258;8072
437;5289;7134;980;18794;4279;4953
438;101;4204;1089;6957;39;958
439;592;5607;3343;2120;1649;3947
440;7778;402;2521;1865;7451;7383
441;1136;738;6331;925;2077;1003
442;596;143;2984;636;3164;1738
443;3807;1053;1513;1650;9535;2212
444;4734;4354;2087;8870;10723;9067
445;835;7835;3444;6917;1875;11446
446;567;1760;5334;1159;17135;20298
447;1221;8228;6048;4039;3869;11425
448;4562;1428;508;2694;1101;2458
449;1514;2274;3067;4621;16439;16238
450;4725;11696;1613;2448;899;3545
451;1263;653;1409;729;1975;2325
452;7324;2279;5087;6401;1768;12247
453;982;1391;10018;3469;3204;10003
454;1048;797;1145;622;610;2246
455;3370;2301;578;810;157;3772
456;1153;47;1161;754;2134;1482
457;3300;537;1875;2744;575;535
458;1455;5856;1744;2492;381;5591
459;564;1351;4706;2649;7501;6374
460;1144;330;2603;581;4720;9779
461;456;771;1980;1394;1952;565
462;6929;7585;949;3138;8409;8533
463;1187;1990;7966;14401;12716;7421
464;536;337;3578;520;312;1420
465;1450;2329;5283;7689;7587;4236
466;159;1158;343;3972;465;5521
467;264;3928;5384;2530;1629;333
468;563;1290;5364;1662;1155;2974
469;9331;894;4309;11215;17421;4662
470;7650;1457;3598;726;6853;2119
471;8301;2561;6032;841;495;12006
472;733;1602;1091;3145;1999;2637
473;1019;595;2445;5205;6808;2666
474;4404;5264;1660;952;2258;1745
475;8229;2118;1494;1115;447;6026
476;541;463;533;12242;1397;1561
477;3334;149;436;7151;2258;13970
478;29602;2186;9552;7167;8101;12176
479;414;3532;2097;2670;2546;6033
480;369;11188;3383;7130;6269;37160
481;1837;1011;3558;2029;1112;4627
482;4561;1451;750;1340;3689;626
483;802;2045;1601;4088;4440;142
484;9101;242;6853;5220;8002;16303
485;3283;2502;1668;1152;2203;2044
486;782;69;1087;408;215;1543
487;269;2298;439;1297;4027;4292
488;483;683;1239;310;1152;2300
489;2840;2211;4083;948;2042;6299
490;1220;1627;213;6700;11494;318
491;3197;2915;553;4082;10883;855
492;1054;11792;1119;3430;6750;4166
493;6706;888;2456;1135;1568;2930
494;1161;1057;1629;2388;55;3482
495;1155;10014;6658;5270;8706;14227
496;545;510;3892;703;4238;1677
497;1087;2259;472;161;1006;4178
498;4721;4867;4537;2161;3814;12052
499;5810;793;799;12990;4840;4133
